Date,City,PM2.5,PM10,NO2,SO2,AQI
2025-01-18,Delhi,283.7,397.0,60.2,9.6,375
2025-01-18,Mumbai,67.4,108.8,33.1,12.7,87
2025-01-18,Bangalore,60.9,122.7,33.5,7.5,121
2025-01-18,Kolkata,50.3,77.9,33.0,5.3,79
2025-01-18,Hyderabad,48.8,125.2,30.3,5.9,109
2025-01-18,Chennai,63.0,123.7,21.2,10.1,112
2025-01-19,Delhi,290.1,408.4,74.3,10.0,384
2025-01-19,Mumbai,94.0,126.5,34.9,7.3,121
2025-01-19,Bangalore,79.9,91.2,21.9,11.4,101
2025-01-19,Kolkata,36.6,109.4,24.5,9.8,109
2025-01-19,Hyderabad,75.1,116.6,25.0,8.5,115
2025-01-19,Chennai,65.0,107.0,24.3,8.6,91
2025-01-20,Delhi,271.5,392.9,71.1,8.2,357
2025-01-20,Mumbai,82.4,102.9,34.6,10.1,106
2025-01-20,Bangalore,46.6,73.0,23.2,7.4,68
2025-01-20,Kolkata,78.4,71.5,34.5,12.9,103
2025-01-20,Hyderabad,64.9,84.8,21.5,8.2,88
2025-01-20,Chennai,50.7,147.8,20.3,5.1,131
2025-01-21,Delhi,292.3,410.6,70.3,5.3,382
2025-01-21,Mumbai,76.9,123.1,32.1,11.1,109
2025-01-21,Bangalore,49.5,77.5,22.1,12.0,74
2025-01-21,Kolkata,56.6,125.5,30.4,11.2,113
2025-01-21,Hyderabad,77.7,123.8,24.8,10.9,110
2025-01-21,Chennai,82.8,90.6,22.8,5.3,107
2025-01-22,Delhi,275.7,382.5,71.4,6.7,362
2025-01-22,Mumbai,90.4,140.4,32.4,8.9,133
2025-01-22,Bangalore,38.1,115.6,26.5,10.8,98
2025-01-22,Kolkata,47.0,98.5,28.4,8.7,82
2025-01-22,Hyderabad,78.4,121.0,31.6,10.3,113
2025-01-22,Chennai,61.6,96.1,35.0,9.0,90
2025-01-23,Delhi,307.3,385.5,65.8,8.5,398
2025-01-23,Mumbai,67.2,102.9,21.4,7.2,92
2025-01-23,Bangalore,40.7,107.4,33.1,12.9,93
2025-01-23,Kolkata,44.7,122.7,28.6,8.9,116
2025-01-23,Hyderabad,53.9,117.9,29.9,12.2,103
2025-01-23,Chennai,63.4,129.9,33.9,9.5,113
2025-01-24,Delhi,308.9,409.3,66.8,8.3,406
2025-01-24,Mumbai,82.3,118.6,20.1,6.2,118
2025-01-24,Bangalore,50.5,98.8,26.6,10.4,94
2025-01-24,Kolkata,41.9,79.7,29.0,12.9,82
2025-01-24,Hyderabad,63.9,98.7,26.3,11.4,92
2025-01-24,Chennai,77.3,111.3,32.5,8.0,102
2025-01-25,Delhi,271.0,405.5,65.8,10.8,372
2025-01-25,Mumbai,84.1,129.0,31.7,10.0,124
2025-01-25,Bangalore,55.9,71.2,29.4,8.5,69
2025-01-25,Kolkata,47.3,70.9,30.4,9.7,67
2025-01-25,Hyderabad,53.9,109.1,24.0,8.0,107
2025-01-25,Chennai,68.7,150.0,21.2,12.3,148
2025-01-26,Delhi,281.7,395.0,66.0,11.3,374
2025-01-26,Mumbai,85.0,126.7,28.6,6.4,122
2025-01-26,Bangalore,62.4,77.0,29.1,6.8,83
2025-01-26,Kolkata,62.0,128.2,24.1,11.7,120
2025-01-26,Hyderabad,62.4,85.3,25.7,6.5,92
2025-01-26,Chennai,65.6,128.0,27.5,12.0,117
2025-01-27,Delhi,282.4,406.3,71.5,6.6,373
2025-01-27,Mumbai,52.6,100.1,34.8,11.8,91
2025-01-27,Bangalore,66.8,86.6,23.0,7.9,82
2025-01-27,Kolkata,47.9,75.0,21.1,11.8,73
2025-01-27,Hyderabad,55.1,101.2,26.3,10.5,102
2025-01-27,Chennai,76.8,134.1,30.9,7.5,132
2025-01-28,Delhi,304.3,410.3,70.0,5.9,386
2025-01-28,Mumbai,94.2,146.7,25.7,12.3,142
2025-01-28,Bangalore,51.1,112.3,27.7,7.3,97
2025-01-28,Kolkata,42.5,127.7,33.1,10.4,109
2025-01-28,Hyderabad,53.9,121.0,23.5,9.1,102
2025-01-28,Chennai,77.9,123.1,22.0,5.4,105
2025-01-29,Delhi,287.1,417.4,71.3,10.0,386
2025-01-29,Mumbai,77.5,116.5,33.5,11.4,100
2025-01-29,Bangalore,68.3,97.4,27.0,10.4,87
2025-01-29,Kolkata,41.9,72.7,33.3,12.7,66
2025-01-29,Hyderabad,41.1,83.1,32.3,11.0,80
2025-01-29,Chennai,57.4,121.9,25.6,12.4,113
2025-01-30,Delhi,270.0,362.7,66.0,11.7,346
2025-01-30,Mumbai,79.3,136.6,32.3,10.7,119
2025-01-30,Bangalore,42.2,117.0,23.3,7.1,106
2025-01-30,Kolkata,41.2,105.2,27.1,10.5,98
2025-01-30,Hyderabad,40.6,117.9,32.9,12.5,110
2025-01-30,Chennai,88.1,108.8,24.0,7.9,118
2025-01-31,Delhi,282.3,386.2,66.0,12.0,366
2025-01-31,Mumbai,85.1,118.0,34.4,6.7,101
2025-01-31,Bangalore,72.1,124.6,33.0,5.4,103
2025-01-31,Kolkata,42.4,86.9,29.9,5.1,76
2025-01-31,Hyderabad,74.1,110.6,32.1,10.0,89
2025-01-31,Chennai,89.4,139.6,32.0,7.4,131
2025-02-01,Delhi,39.7,119.6,23.0,5.0,110
2025-02-01,Mumbai,95.0,94.3,25.6,9.0,120
2025-02-01,Bangalore,45.2,106.8,30.0,5.5,101
2025-02-01,Kolkata,39.5,127.0,30.5,5.9,107
2025-02-01,Hyderabad,43.2,80.1,23.8,9.3,85
2025-02-01,Chennai,62.3,139.1,23.7,10.0,119
2025-02-02,Delhi,49.5,73.7,25.3,6.9,80
2025-02-02,Mumbai,75.2,119.4,21.3,9.4,107
2025-02-02,Bangalore,50.7,99.7,35.0,7.4,93
2025-02-02,Kolkata,42.6,111.6,34.4,11.9,93
2025-02-02,Hyderabad,38.4,114.2,24.0,8.0,113
2025-02-02,Chennai,73.8,148.1,30.3,8.9,131
2025-02-03,Delhi,59.0,73.0,33.4,11.0,82
2025-02-03,Mumbai,62.8,115.5,34.6,5.2,106
2025-02-03,Bangalore,79.6,72.3,32.7,11.1,105
2025-02-03,Kolkata,59.5,76.1,29.7,7.0,68
2025-02-03,Hyderabad,44.1,91.9,32.7,5.9,84
2025-02-03,Chennai,74.7,103.8,23.7,9.2,87
2025-02-04,Delhi,61.4,112.2,30.1,5.1,112
2025-02-04,Mumbai,77.8,111.0,28.4,7.0,94
2025-02-04,Bangalore,40.4,110.3,26.3,11.5,111
2025-02-04,Kolkata,54.4,108.8,26.6,8.7,91
2025-02-04,Hyderabad,72.8,99.7,30.7,11.9,86
2025-02-04,Chennai,85.1,138.0,30.7,7.7,114
2025-02-05,Delhi,48.5,104.6,20.0,9.5,92
2025-02-05,Mumbai,90.9,90.4,22.8,11.0,124
2025-02-05,Bangalore,52.6,72.2,23.1,11.0,71
2025-02-05,Kolkata,45.6,117.4,27.1,8.4,113
2025-02-05,Hyderabad,53.8,79.1,25.2,9.0,80
2025-02-05,Chennai,80.9,131.7,29.8,5.8,108
2025-02-06,Delhi,79.3,71.5,28.2,9.0,103
2025-02-06,Mumbai,82.9,108.0,34.4,8.0,120
2025-02-06,Bangalore,58.0,119.8,24.4,8.4,114
2025-02-06,Kolkata,48.3,104.7,23.2,12.7,103
2025-02-06,Hyderabad,76.2,101.3,24.9,12.3,102
2025-02-06,Chennai,88.2,124.7,28.7,8.2,109
2025-02-07,Delhi,55.2,86.4,32.9,11.5,76
2025-02-07,Mumbai,62.8,149.8,34.8,8.9,129
2025-02-07,Bangalore,76.9,123.3,34.9,12.5,100
2025-02-07,Kolkata,74.1,73.4,29.6,12.5,105
2025-02-07,Hyderabad,35.6,70.9,31.3,12.0,75
2025-02-07,Chennai,85.8,115.3,21.4,7.6,105
2025-02-08,Delhi,70.6,82.7,26.7,9.6,103
2025-02-08,Mumbai,88.7,134.0,29.9,10.9,129
2025-02-08,Bangalore,77.4,84.9,20.1,5.3,101
2025-02-08,Kolkata,78.5,95.7,33.1,9.1,92
2025-02-08,Hyderabad,38.4,129.1,34.5,5.8,107
2025-02-08,Chennai,93.7,93.7,25.6,8.7,131
2025-02-09,Delhi,55.6,116.4,31.6,6.0,97
2025-02-09,Mumbai,77.6,107.7,30.7,9.5,100
2025-02-09,Bangalore,60.3,112.7,22.0,10.2,105
2025-02-09,Kolkata,66.0,102.1,32.9,7.8,88
2025-02-09,Hyderabad,47.2,89.7,28.6,6.1,76
2025-02-09,Chennai,64.5,149.9,32.3,6.4,134
2025-02-10,Delhi,59.6,125.8,23.0,9.9,117
2025-02-10,Mumbai,94.3,122.6,23.7,8.5,114
2025-02-10,Bangalore,58.1,97.1,25.0,11.3,94
2025-02-10,Kolkata,60.5,110.2,21.7,5.7,111
2025-02-10,Hyderabad,76.9,102.4,25.6,7.3,94
2025-02-10,Chennai,68.1,147.0,26.0,5.4,129
2025-02-11,Delhi,55.8,75.9,29.5,7.7,76
2025-02-11,Mumbai,54.6,107.3,34.0,8.1,103
2025-02-11,Bangalore,44.7,120.3,34.3,5.1,110
2025-02-11,Kolkata,56.2,76.2,20.1,11.8,73
2025-02-11,Hyderabad,44.8,84.7,28.9,10.8,90
2025-02-11,Chennai,54.2,117.0,24.6,10.6,97
2025-02-12,Delhi,60.5,112.9,30.9,7.0,110
2025-02-12,Mumbai,73.6,147.1,21.1,12.6,143
2025-02-12,Bangalore,60.7,120.6,28.5,11.9,114
2025-02-12,Kolkata,62.3,121.2,20.4,9.8,113
2025-02-12,Hyderabad,53.6,92.8,22.5,9.4,84
2025-02-12,Chennai,92.6,95.2,24.5,12.5,123
2025-02-13,Delhi,77.0,81.9,25.4,6.3,99
2025-02-13,Mumbai,87.2,118.4,32.4,10.1,122
2025-02-13,Bangalore,37.4,126.6,34.2,7.7,114
2025-02-13,Kolkata,51.9,129.1,29.3,5.1,123
2025-02-13,Hyderabad,38.6,95.6,34.4,5.7,93
2025-02-13,Chennai,93.3,113.9,31.1,6.7,127
2025-02-14,Delhi,61.6,109.9,30.0,9.3,101
2025-02-14,Mumbai,62.4,101.6,31.9,12.2,92
2025-02-14,Bangalore,48.8,114.7,25.3,12.0,112
2025-02-14,Kolkata,79.4,79.0,24.1,6.4,97
2025-02-14,Hyderabad,64.0,108.1,22.6,8.9,107
2025-02-14,Chennai,82.1,93.0,33.4,10.7,110
2025-02-15,Delhi,61.3,83.8,34.1,8.4,77
2025-02-15,Mumbai,63.2,105.6,32.2,7.6,103
2025-02-15,Bangalore,74.6,97.0,29.5,7.7,89
2025-02-15,Kolkata,59.8,108.6,21.5,5.5,104
2025-02-15,Hyderabad,42.3,127.8,26.9,11.5,106
2025-02-15,Chennai,61.6,97.0,25.0,10.7,84
2025-02-16,Delhi,63.6,125.3,24.6,9.4,119
2025-02-16,Mumbai,88.0,101.8,28.6,5.3,128
2025-02-16,Bangalore,45.9,114.1,24.6,7.5,116
2025-02-16,Kolkata,71.3,89.2,32.3,11.7,92
2025-02-16,Hyderabad,45.9,85.0,31.2,6.0,79
2025-02-16,Chennai,89.4,118.7,33.7,6.6,111
2025-02-17,Delhi,74.2,107.3,26.1,6.0,98
2025-02-17,Mumbai,76.8,132.0,21.3,11.7,127
2025-02-17,Bangalore,37.6,72.8,24.6,11.2,58
2025-02-17,Kolkata,59.1,119.7,23.5,8.4,111
2025-02-17,Hyderabad,55.7,118.5,20.0,6.9,96
2025-02-17,Chennai,80.0,100.7,29.2,12.5,97
2025-02-18,Delhi,58.2,108.8,31.0,8.0,103
2025-02-18,Mumbai,82.6,97.0,24.3,10.4,99
2025-02-18,Bangalore,51.0,74.7,27.6,5.1,57
2025-02-18,Kolkata,65.2,120.4,27.2,8.2,121
2025-02-18,Hyderabad,63.0,75.0,25.5,11.7,91
2025-02-18,Chennai,81.3,92.1,30.0,8.2,97
2025-02-19,Delhi,36.9,95.5,23.9,5.8,95
2025-02-19,Mumbai,60.8,128.3,23.5,11.9,126
2025-02-19,Bangalore,74.4,101.1,32.9,6.1,96
2025-02-19,Kolkata,73.7,93.3,24.7,6.1,93
2025-02-19,Hyderabad,45.0,75.3,26.0,6.8,61
2025-02-19,Chennai,59.2,140.0,28.2,10.9,126
2025-02-20,Delhi,54.5,112.9,23.2,8.7,104
2025-02-20,Mumbai,90.0,148.0,24.9,8.2,132
2025-02-20,Bangalore,38.7,100.2,33.8,6.4,101
2025-02-20,Kolkata,66.2,114.1,21.9,5.5,101
2025-02-20,Hyderabad,75.6,117.7,20.9,12.4,119
2025-02-20,Chennai,94.9,145.0,26.4,5.5,137
2025-02-21,Delhi,66.8,97.9,32.0,7.6,94
2025-02-21,Mumbai,67.2,129.0,22.8,10.9,121
2025-02-21,Bangalore,66.9,89.4,25.7,7.4,99
2025-02-21,Kolkata,50.0,116.3,31.9,11.7,113
2025-02-21,Hyderabad,77.5,76.7,31.8,8.8,90
2025-02-21,Chennai,91.0,94.2,29.4,7.6,116
2025-02-22,Delhi,40.4,105.0,34.5,7.9,95
2025-02-22,Mumbai,77.2,138.7,30.4,12.4,123
2025-02-22,Bangalore,76.6,75.7,23.5,9.4,95
2025-02-22,Kolkata,35.1,102.8,20.7,6.7,89
2025-02-22,Hyderabad,66.6,87.9,25.7,11.1,83
2025-02-22,Chennai,63.9,127.6,26.8,8.1,128
2025-02-23,Delhi,68.7,122.5,29.9,6.8,115
2025-02-23,Mumbai,74.6,108.1,27.4,5.4,89
2025-02-23,Bangalore,72.8,96.9,23.9,10.9,91
2025-02-23,Kolkata,46.0,96.5,21.1,5.7,100
2025-02-23,Hyderabad,67.6,127.3,26.7,11.7,125
2025-02-23,Chennai,52.4,143.7,27.0,10.3,133
2025-02-24,Delhi,40.6,99.6,30.2,8.4,80
2025-02-24,Mumbai,63.5,130.7,23.8,10.7,124
2025-02-24,Bangalore,63.5,75.3,28.1,10.7,96
2025-02-24,Kolkata,74.0,85.2,29.4,9.6,87
2025-02-24,Hyderabad,36.7,118.8,22.7,8.6,103
2025-02-24,Chennai,76.9,105.9,30.6,6.1,104
2025-02-25,Delhi,41.3,114.9,21.4,6.7,114
2025-02-25,Mumbai,54.0,98.8,34.4,7.2,88
2025-02-25,Bangalore,42.2,101.3,21.6,12.2,93
2025-02-25,Kolkata,79.6,92.1,23.0,9.4,95
2025-02-25,Hyderabad,58.7,124.0,34.3,11.0,120
2025-02-25,Chennai,82.8,95.7,33.4,7.1,118
2025-02-26,Delhi,74.1,79.4,34.6,11.7,95
2025-02-26,Mumbai,51.4,107.8,32.9,8.5,88
2025-02-26,Bangalore,77.0,74.5,20.4,7.3,93
2025-02-26,Kolkata,78.8,70.8,26.6,9.8,106
2025-02-26,Hyderabad,59.6,94.0,22.1,8.4,88
2025-02-26,Chennai,93.8,139.2,29.8,7.4,133
2025-02-27,Delhi,66.3,72.4,27.2,12.7,76
2025-02-27,Mumbai,51.8,93.3,28.0,9.0,90
2025-02-27,Bangalore,79.8,116.6,22.9,12.2,106
2025-02-27,Kolkata,59.5,96.3,26.1,9.7,88
2025-02-27,Hyderabad,40.3,87.5,27.3,12.0,77
2025-02-27,Chennai,68.6,143.3,24.7,11.3,142
2025-02-28,Delhi,52.3,115.7,21.8,5.1,106
2025-02-28,Mumbai,60.4,96.8,25.1,9.2,85
2025-02-28,Bangalore,52.4,107.3,20.5,12.3,94
2025-02-28,Kolkata,51.8,111.5,28.9,6.4,109
2025-02-28,Hyderabad,70.1,78.5,24.3,5.1,105
2025-02-28,Chennai,71.6,148.4,34.3,5.7,133
2025-03-01,Delhi,36.5,98.0,33.1,5.4,78
2025-03-01,Mumbai,93.2,90.5,34.6,10.8,127
2025-03-01,Bangalore,54.5,84.7,31.6,12.4,85
2025-03-01,Kolkata,77.8,116.1,23.9,6.8,116
2025-03-01,Hyderabad,66.9,101.3,27.3,5.5,83
2025-03-01,Chennai,89.2,134.9,34.7,8.1,114
2025-03-02,Delhi,56.7,85.0,31.8,9.1,85
2025-03-02,Mumbai,51.8,123.6,20.2,6.0,103
2025-03-02,Bangalore,40.4,127.7,31.2,8.1,120
2025-03-02,Kolkata,63.3,98.2,33.8,8.3,87
2025-03-02,Hyderabad,67.5,117.5,21.8,5.9,116
2025-03-02,Chennai,56.7,131.8,28.2,7.9,121
2025-03-03,Delhi,45.9,83.9,30.0,10.5,74
2025-03-03,Mumbai,61.8,148.4,26.2,9.1,123
2025-03-03,Bangalore,54.5,112.3,32.6,7.1,92
2025-03-03,Kolkata,43.5,123.0,30.7,7.4,118
2025-03-03,Hyderabad,70.1,111.4,26.5,10.7,91
2025-03-03,Chennai,62.7,133.9,26.6,12.1,134
2025-03-04,Delhi,71.2,107.9,34.4,7.3,102
2025-03-04,Mumbai,77.9,110.1,21.4,6.7,95
2025-03-04,Bangalore,59.3,92.9,26.7,7.3,96
2025-03-04,Kolkata,71.7,103.6,22.1,12.4,105
2025-03-04,Hyderabad,47.9,126.6,34.2,8.3,104
2025-03-04,Chennai,57.5,129.1,32.9,12.9,124
2025-03-05,Delhi,44.3,71.3,27.6,12.6,56
2025-03-05,Mumbai,59.7,138.3,26.8,10.1,135
2025-03-05,Bangalore,75.7,70.3,26.0,10.6,99
2025-03-05,Kolkata,38.1,78.8,27.6,10.2,68
2025-03-05,Hyderabad,64.8,125.4,24.6,7.8,119
2025-03-05,Chennai,53.7,147.5,32.7,10.4,135
2025-03-06,Delhi,50.5,98.9,24.6,6.4,92
2025-03-06,Mumbai,77.7,111.8,22.2,5.5,107
2025-03-06,Bangalore,54.4,127.0,29.8,8.9,112
2025-03-06,Kolkata,36.1,90.9,21.9,10.6,71
2025-03-06,Hyderabad,70.6,84.1,34.5,8.3,104
2025-03-06,Chennai,76.0,121.9,34.5,10.2,121
2025-03-07,Delhi,44.4,83.3,33.6,5.2,71
2025-03-07,Mumbai,84.3,135.6,28.3,5.3,113
2025-03-07,Bangalore,50.3,125.8,24.8,9.0,108
2025-03-07,Kolkata,41.0,125.1,23.2,11.8,105
2025-03-07,Hyderabad,61.5,113.8,33.8,11.2,96
2025-03-07,Chennai,89.5,113.9,21.2,5.8,125
2025-03-08,Delhi,77.4,92.8,26.7,10.7,101
2025-03-08,Mumbai,76.0,113.0,20.7,5.0,109
2025-03-08,Bangalore,76.5,124.8,29.1,10.8,125
2025-03-08,Kolkata,73.4,126.1,20.8,7.2,122
2025-03-08,Hyderabad,48.2,124.4,34.7,8.2,122
2025-03-08,Chennai,93.3,103.7,22.8,7.8,120
2025-03-09,Delhi,35.4,118.2,23.2,9.7,107
2025-03-09,Mumbai,93.0,138.8,23.0,5.7,135
2025-03-09,Bangalore,62.6,123.7,34.7,9.7,103
2025-03-09,Kolkata,55.0,120.6,27.0,7.6,100
2025-03-09,Hyderabad,37.3,83.6,24.3,6.5,81
2025-03-09,Chennai,51.4,122.5,30.6,7.8,109
2025-03-10,Delhi,44.4,91.9,31.9,8.1,95
2025-03-10,Mumbai,75.3,116.4,34.9,6.9,108
2025-03-10,Bangalore,48.8,98.4,30.3,11.6,91
2025-03-10,Kolkata,48.0,105.1,29.5,7.4,95
2025-03-10,Hyderabad,70.2,73.9,29.9,5.7,103
2025-03-10,Chennai,62.1,104.9,33.2,6.8,102
2025-03-11,Delhi,79.9,103.0,26.8,5.1,93
2025-03-11,Mumbai,64.9,106.8,27.1,12.5,103
2025-03-11,Bangalore,77.4,113.1,21.8,8.5,93
2025-03-11,Kolkata,37.7,99.3,22.8,10.1,86
2025-03-11,Hyderabad,52.3,77.3,23.4,5.4,67
2025-03-11,Chennai,88.4,145.7,25.9,9.8,145
2025-03-12,Delhi,74.9,129.6,22.3,5.4,127
2025-03-12,Mumbai,66.8,124.8,21.3,11.8,116
2025-03-12,Bangalore,61.8,107.9,22.4,5.7,88
2025-03-12,Kolkata,79.2,95.6,29.3,10.1,115
2025-03-12,Hyderabad,42.5,116.8,27.1,10.3,103
2025-03-12,Chennai,88.6,96.3,33.3,11.3,107
2025-03-13,Delhi,36.8,96.3,29.8,5.2,93
2025-03-13,Mumbai,83.5,102.5,34.4,10.5,116
2025-03-13,Bangalore,73.5,73.5,27.9,8.6,105
2025-03-13,Kolkata,73.3,115.0,26.4,7.2,98
2025-03-13,Hyderabad,36.6,90.5,27.0,11.2,85
2025-03-13,Chennai,87.0,142.1,29.0,8.4,125
2025-03-14,Delhi,57.8,73.8,29.4,11.4,74
2025-03-14,Mumbai,73.0,115.7,28.2,6.3,100
2025-03-14,Bangalore,36.1,108.4,27.5,8.4,87
2025-03-14,Kolkata,55.4,128.9,23.6,6.4,125
2025-03-14,Hyderabad,35.4,126.7,29.6,11.9,118
2025-03-14,Chennai,55.6,115.0,34.7,6.0,100
2025-03-15,Delhi,70.0,84.6,24.8,7.4,86
2025-03-15,Mumbai,79.5,140.8,32.4,10.5,126
2025-03-15,Bangalore,71.2,114.6,23.9,12.5,104
2025-03-15,Kolkata,45.3,73.6,26.1,5.8,79
2025-03-15,Hyderabad,75.6,101.4,29.3,10.9,96
2025-03-15,Chennai,56.8,109.1,21.7,12.8,97
2025-03-16,Delhi,36.9,102.0,26.3,12.4,105
2025-03-16,Mumbai,80.8,116.4,24.4,6.8,103
2025-03-16,Bangalore,57.7,111.7,20.9,9.0,96
2025-03-16,Kolkata,39.1,103.6,32.5,9.4,94
2025-03-16,Hyderabad,68.4,100.6,20.7,9.9,86
2025-03-16,Chennai,69.2,134.2,21.3,6.2,119
2025-03-17,Delhi,46.3,111.6,27.3,10.0,101
2025-03-17,Mumbai,76.5,97.1,32.7,8.6,107
